순위,연도별증상(2024),연도별보고건수(2024),연도별증상(2023),연도별보고건수(2023),연도별증상(2022),연도별보고건수(2022),연도별증상(2021),연도별보고건수(2021),연도별증상(2020),연도별보고건수(2020),연도별증상(2019),연도별보고건수(2019)
1,항악성종양제,31748,해열 진통소염제,34644,백신류,66579,백신류,300425,해열 진통소염제,37443,해열 진통소염제,38591
2,해열·진통·소염제,31228,X선조영제,27604,해열 진통소염제,32573,항악성종양제,33064,항악성종양제,34951,항악성종양제,31020
3,X선조영제,27859,항악성종양제,26145,항악성종양제,28165,해열 진통소염제,31768,X선조영제,20232,"주로 그람양성, 음성균에 작용하는 것",21941
4,"주로 그람양성, 음성균에 작용하는 것",18165,"주로 그람양성, 음성균에 작용하는 것",24030,X선조영제,26323,X선조영제,19547,합성마약,19923,X선조영제,20377
5,성장호르몬,12604,합성마약,16991,"주로 그람양성, 음성균에 작용하는 것",19957,합성마약,19303,"주로 그람양성, 음성균에 작용하는 것",19523,합성마약,18592
6,소화성계용제,7260,소화성궤양용제,7931,합성마약,18726,"주로 그람양성, 음성균에 작용하는 것",17763,기타의 화학요법제,7602,소화성궤양용제,9472
7,기타의 화학요법제,6276,기타의 화학요법제,7466,기타의 화학요법제,7268,기타의 화학요법제,6829,소화성궤양용제,7602,기타의 화학요법제,8831
8,백신류,5301,백신류,5965,소화성궤양용제,6203,소화성궤양용제,6041,당뇨병용제,5743,진해거담제,6753
9,혈압강하제,5006,혈압강하제,5245,기타의 순환계용약,5224,동맥경화용제,5983,진해거담제,5421,기타의 소화기관용약,5548
10,진해거담제,4971,동맥경화용제,5135,혈압강하제,4805,혈압강하제,4647,기타의 소화기관용약,5332,정신신경용제,5295
